Nombre,Latitud,Longitud
Madrid,40.4168,-3.7038
Barcelona,41.3851,2.1734
Valencia,39.4699,-0.3763
Sevilla,37.3886,-5.9823
Zaragoza,41.6488,-0.8891
Malaga,36.7213,-4.4214
Bilbao,43.263,-2.935
Palma,39.5696,2.6502
Murcia,37.9847,-1.1285
Las Palmas,28.1235,-15.4363
Londres,51.5074,-0.1278
Paris,48.8566,2.3522
Roma,41.9028,12.4964
Berlin,52.52,13.405
Lisboa,38.7169,-9.1399
Amsterdam,52.3676,4.9041
Bruselas,50.8503,4.3517
Viena,48.2082,16.3738
Praga,50.0755,14.4378
Budapest,47.4979,19.0402
Oslo,59.9139,10.7522
Estocolmo,59.3293,18.0686
Copenhague,55.6761,12.5683
Helsinki,60.1695,24.9354
Dublin,53.3498,-6.2603
Varsovia,52.2297,21.0122
Atenas,37.9838,23.7275
Bucarest,44.4268,26.1025
Sofia,42.6977,23.3219
Reykjavik,64.1466,-21.9426
